month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	branches	tag	notes_prior	notes	year	observer	other_people	paint_color	tape_color	forest_fires	uniqid
3	2	19,02	J	21-1	NA	107.98	3.3	1.3	2	170365-1	NA	NA	2021	E	NA	NA	NA	NA	lessstanding041
3	2	19,06	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding042
3	3	19,08	B	19-1	125.64	NA	NA	1.3	2	166069	NA	Caido	2021	E	NA	NA	NA	NA	lessstanding043
3	3	19,12	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding044
3	3	19,19	F	20-1	33.31	NA	NA	1.3	1	172752-1	NA	Nada	2021	E	NA	NA	NA	NA	lessstanding045
3	3	19,19	F	20-2	23.86	NA	NA	1.3	2	172752-2	NA	Caido	2021	E	NA	NA	NA	NA	lessstanding046
3	3	19,19	K	21-1	NA	96.4	6.4	1.3	2	167652	NA	NA	2021	E	NA	NA	NA	NA	lessstanding047
3	3	19,16	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	2021	E	NA	NA	NA	NA	lessstanding048
3	2	21,04	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding049
3	3	21,08	NA	NA	NA	NA	NA	NA	NA	NA	Caido	Nada	2021	E	NA	NA	NA	NA	lessstanding050
3	3	21,10	B	19-1	35.53	35.97	5.6	1.3	0	156483	NA	NA	2021	E	NA	NA	NA	NA	lessstanding051
3	3	21,10	N	20-1	14.96	12.01	1.6	1.3	1	156620	NA	NA	2021	E	NA	NA	NA	NA	lessstanding052
3	3	21,15	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding053
3	3	21,17	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	2021	E	NA	NA	NA	NA	lessstanding054
3	3	22,19	B	21-1	NA	63.97	7.9	1.3	2	152727	Nada	NA	2021	E	NA	NA	NA	NA	lessstanding055
3	3	22,21	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding056
3	4	23,03	N	20-1	65.75	65.790000000000006	5.7	1.3	2	145488	NA	NA	2021	E	NA	NA	NA	NA	lessstanding057
3	4	23,06	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	2021	E	NA	NA	NA	NA	lessstanding058
3	3	23,17	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	2021	E	NA	NA	NA	NA	lessstanding059
2	22	23,23	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	R	NA	NA	NA	NA	lessstanding060
3	4	24,09	K	21-1	NA	98	2.7	1.3	2	141776	NA	Inclinado 60 grados	2021	E	NA	NA	NA	NA	lessstanding061
3	3	24,15	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding062
2	22	25,24	B	19-1	42.97	-	NA	1.3	0	138874	Nada	Nada	2021	R	NA	NA	NA	NA	lessstanding063
3	4	26,08	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding064
3	4	26,17	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nada	2021	E	NA	NA	NA	NA	lessstanding065
2	22	26,21	C	8-1	125	NA	NA	1.3	2	138421	NA	Nada	2021	R	NA	NA	NA	NA	lessstanding066
3	4	28,16	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding067
3	4	29,06	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding068
3	4	29,13	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding069
2	22	30,23	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	R	NA	NA	NA	NA	lessstanding070
3	5	31,16	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding071
2	23	31,21	N	21-1	NA	19.329999999999998	1.9	1.3	2	631314	Nada	NA	2021	E	NA	NA	NA	NA	lessstanding072
3	4	32,07	B	21-1	NA	197	5.5	1.3	2	96226	NA	NA	2021	E	NA	NA	NA	NA	lessstanding073
2	22	32,24	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	R	NA	NA	NA	NA	lessstanding074
3	5	33,12	G	20-1	17.33	NA	NA	1.3	1	532171	NA	Nada	2021	E	NA	NA	NA	NA	lessstanding075
3	5	33,12	J	19-1	26.58	25.89	2.6	1.3	1	94497	NA	NA	2021	E	NA	NA	NA	NA	lessstanding076
2	23	33,21	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding077
3	4	34,04	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding078
2	23	34,15	F	20-1	133	133	10	1.3	1	93017	NA	NA	2021	E	NA	NA	NA	NA	lessstanding079
2	23	34,15	F	20-2	37.83	NA	NA	1.3	1	93015	NA	Nada	2021	E	NA	NA	NA	NA	lessstanding080
2	23	34,15	F	20-3	45.57	48.27	8.5	1.3	0	93007	NA	NA	2021	E	NA	NA	NA	NA	lessstanding081
2	23	34,15	F	21-1	NA	77.45	13.7	1.3	1	93009	NA	NA	2021	E	NA	NA	NA	NA	lessstanding082
3	5	35,17	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding083
3	4	36,04	G	20-1	35.52	NA	NA	1.3	1	535061	NA	Nada	2021	E	NA	NA	NA	NA	lessstanding084
3	4	36,10	C	20-1	153	NA	NA	1.3	2	81683	NA	Caido	2021	E	NA	NA	NA	NA	lessstanding085
3	5	36,13	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding086
3	5	37,17	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding087
3	5	38,11	F	21-1	NA	33.380000000000003	3.2	1.3	2	637157	NA	NA	2021	E	NA	NA	NA	NA	lessstanding088
3	5	38,11	G	20-1	30.48	NA	NA	1.3	2	72242	NA	caido	2021	E	NA	NA	NA	NA	lessstanding089
3	5	38,11	G	20-2	34.14	33.520000000000003	2.2	1.3	1	302273	NA	NA	2021	E	NA	NA	NA	NA	lessstanding090
3	5	38,11	K	7-1	102	NA	NA	1.3	2	67202	NA	caido	2021	E	NA	NA	NA	NA	lessstanding091
3	5	39,07	F	21-1	NA	23.33	3.8	1.3	1	438249	Nada	NA	2021	E	NA	NA	NA	NA	lessstanding092
3	5	39,15	O	19-3	112	105	5.4	1.3	1	62865	NA	NA	2021	E	NA	NA	NA	NA	lessstanding093
3	5	39,15	O	19-4	137	133	3.2	1.3	2	62865	NA	NA	2021	E	NA	NA	NA	NA	lessstanding094
3	5	39,15	O	20-1	36.47	39.71	1.96	1.3	1	62865	NA	NA	2021	E	NA	NA	NA	NA	lessstanding095
3	9	40,21	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding096
3	9	41,24	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding097
3	8	42,12	O	20-1	30.45	35.799999999999997	1.5	1.3	1	17281	NA	NA	2021	E	NA	NA	NA	NA	lessstanding098
3	9	42,21	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding099
3	8	43,10	G	6-1	78.67	85.4	1.4	1.3	2	16868	NA	Se está rajando	2021	E	NA	NA	NA	NA	lessstanding100
3	9	43,15	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding101
3	8	44,07	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding102
3	9	44,13	J	20-1	45.03	46.36	5.7	1.3	0	443485	NA	NA	2021	E	NA	NA	NA	NA	lessstanding103
3	9	44,18	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding104
3	9	44,20	B	19-1	115	104	3.8	1.3	2	38245	NA	NA	2021	E	NA	NA	NA	NA	lessstanding105
3	9	44,23	N	21-1	NA	89	3.5	1.3	2	39031	Nada	NA	2021	E	NA	NA	NA	NA	lessstanding106
3	8	45,05	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding107
3	8	46,01	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding108
3	8	46,07	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding109
3	9	46,21	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding110
3	8	47,05	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding111
3	8	47,10	C	20-1	132	131	2.8	1.3	2	26728	Nada	NA	2021	E	NA	NA	NA	NA	lessstanding112
3	9	47,17	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding113
3	8	49,01	K	20-1	159	159	1.4	1.3	2	849074	NA	NA	2021	E	NA	NA	NA	NA	lessstanding114
3	8	49,01	K	20-2	52.18	NA	NA	1.3	2	125206	NA	Caido	2021	E	NA	NA	NA	NA	lessstanding115
3	8	49,01	O	20-1	17.85	NA	NA	1.3	2	449006	NA	Nada	2021	E	NA	NA	NA	NA	lessstanding116
3	8	49,04	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding117
3	9	49,12	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding118
3	9	49,17	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding119
3	9	49,21	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding120
3	9	49,24	NA	NA	NA	NA	NA	NA	NA	NA	Nada	Nada	2021	E	NA	NA	NA	NA	lessstanding121
