"subplot_code","habitat","month","day","year","transect_section_letter","code_of_piece","diameter_one.mm","diameter_two.mm","height","POM","penetration.200mm","penetration.200mm.1","branches","uniqid","tag","notes","observer","MC","MS","years_present","first_appearance","last_ppearance","coded_notes","pen.hit.mm","pendensity.kgm3","pen_density","b","mean_diameter_at1.3_mm","Diameter.at.top.of.snag","volume_m3","AGB.kg.dry.mass","k.volume.yr","k.mass.yr"
"01,21","slope",2,7,2020,"K","01,21K.8.1",448,347,9,1.3,88,NA,2,"standing005",8207,NA,"R","TRUE","FALSE",7,2018,2024,"",4.4,231.070759708207,TRUE,0.0636095632395011,448,274.513268146733,0.940224045432092,217.258284473917,0.127319489341757,-0.0320753488391153
"01,21","slope",2,25,2021,"K","01,21K.8.1",435,345,8.1,1.3,NA,NA,2,"standing005",8207,NA,"V","TRUE","FALSE",7,2018,2024,"",NA,271,FALSE,0.064286848870006,435,280.955265393536,0.827822453892834,224.339885004958,2.00881526505165,2.00881526505165
"01,21","slope",2,7,2022,"K","01,21K.8.1",379,334,1.1,0.55,NA,NA,2,"standing005",8207,"se cayo parte del tronco","E","TRUE","FALSE",7,2018,2024,"",NA,271,FALSE,0.0855207014378353,355.453940763966,361.585966856042,0.111050320750023,30.0946369232561,0.375447600511026,0.375447600511026
"01,21","slope",2,8,2023,"K","01,21K.8.1",315,283,1.1,0.55,NA,NA,2,"standing002",8207,NA,"E","TRUE","FALSE",7,2018,2024,"",NA,271,FALSE,0.0897748634617415,294.488952963747,299.824248280869,0.0762895399774087,20.6744653338778,0.0522175356722662,0.0522175356722664
"01,21","slope",2,14,2024,"K","01,21K.8.1",307,293,1.1,0.55,NA,NA,2,"standing002",8207,NA,"E","TRUE","FALSE",7,2018,2024,"",NA,271,FALSE,0.0903665359602255,286.882534814086,292.114588835937,0.0724081094785816,19.6225976686956,NA,NA
"01,21","slope",2,7,2020,"L","01,21L.20.1",832,584,9.1,1.3,60,NA,2,"standing003",8208,NA,"R","TRUE","FALSE",5,2020,2024,"",3,263.080337729905,TRUE,0.0493716614461579,832,566.078907789181,3.53460262945264,929.88445349741,-0.00310079104854556,-0.0327601597422907
"01,21","slope",2,25,2021,"L","01,21L.20.1",798,619,10.5,1.3,NA,NA,2,"standing003",8208,NA,"V","TRUE","FALSE",5,2020,2024,"",NA,271,FALSE,0.0503313098437001,798,502.231187670873,3.54557970365763,960.852099691219,-0.00269070418710042,-0.00269070418710042
"01,21","slope",2,7,2022,"L","01,21L.20.1",799,587,10.5,1.3,NA,NA,2,"standing003",8208,NA,"E","TRUE","FALSE",5,2020,2024,"",NA,271,FALSE,0.0503025058324214,799,502.993824208067,3.55513265613305,963.440949812057,-0.00125305959500878,-0.00125305959500878
"01,21","slope",2,8,2023,"L","01,21L.20.1",804,610,10.3,1.3,NA,NA,2,"standing003",8208,NA,"E","TRUE","FALSE",5,2020,2024,"",NA,271,FALSE,0.0501590243939295,804,511.919839667908,3.55959024144611,964.648955431896,0.255584127702826,0.255584127702826
"01,21","slope",2,14,2024,"L","01,21L.20.1",802,593,7.1,1.3,NA,NA,2,"standing003",8208,NA,"E","TRUE","FALSE",5,2020,2024,"",NA,271,FALSE,0.0502163096041159,802,599.354961145872,2.75677442536113,747.085869272866,NA,NA
"01,21","slope",3,13,2018,"P","01,21P.8.1",481,NA,15.2,2.8,23,NA,2,"standing002",8214,"escalera. Sin corteza","R",NA,NA,7,2018,2024,"",1.15,364.039400821641,TRUE,0.0458625021656262,515.254536066433,272.37294357303,1.91015061820132,695.370086529097,0.127244134774711,0.0964281945407384
"01,21","slope",2,28,2019,"P","01,21P.8.1",453,576,15.2,2.8,21,NA,2,"standing002",8214,"Parte del resto de la corteza se está abriendo por lo que mide mas","R","FALSE","TRUE",7,2018,2024,"AA;",1.05,375.432256457939,TRUE,0.047241930491949,486.265621658618,252.167156582233,1.6819233030886,631.448260867744,-0.0803644175426402,-0.0803644175426401
"01,21","slope",3,6,2020,"P","01,21P.8.1",468,580,15.5,2.8,21,NA,2,"standing004",8214,"escalera","R","FALSE","TRUE",7,2018,2024,"",1.05,375.432256457939,TRUE,0.0464926785719529,501.802850153439,259.306634407414,1.82266985491589,684.289056408938,-0.0445603687978671,0.281398856350682
"01,21","slope",3,10,2021,"P","01,21P.8.1",462,533,17.6,2.8,NA,NA,2,"standing004",8214,"Escalera","V","FALSE","TRUE",7,2018,2024,"",NA,271,FALSE,0.0467894568831787,495.590051748341,231.153254332087,1.90572544709646,516.451596163141,0.0103612062002526,0.0103612062002526
"01,21","slope",2,22,2022,"P","01,21P.8.1",479,523,15.1,2.8,NA,NA,2,"standing004",8214,"Escalera","E","FALSE","TRUE",7,2018,2024,"",NA,271,FALSE,0.0459583356376077,513.185870836686,272.166243536536,1.88608177458496,511.128160912525,0.076661080800504,0.076661080800504
"01,21","slope",3,10,2023,"P","01,21P.8.1",462,483,15.1,2.8,NA,NA,2,"standing004",8214,NA,"E","FALSE","TRUE",7,2018,2024,"",NA,271,FALSE,0.0467894568831787,495.590051748341,259.837015610613,1.74689593441371,473.408798226115,0.126679857547616,0.126679857547616
"01,21","slope",3,12,2024,"P","01,21P.8.1",447,509,13.7,2.8,NA,NA,2,"standing004",8214,NA,"E","FALSE","TRUE",7,2018,2024,"",NA,271,FALSE,0.0475486017019466,480.045790951025,266.208233720311,1.53904270600671,417.080573327818,NA,NA
"01,24","slope",1,31,2019,"G","01,24G.19.1",581,474,10.7,1.3,47,NA,2,"standing005",8535,"Corteza","R",NA,NA,3,2019,2021,"",2.35,285.767676365155,TRUE,0.0576305401774518,581,337.992490974298,1.8156984241854,518.867919659336,-0.200011196453096,-0.111692323501914
"01,24","slope",2,7,2020,"G","01,24G.19.1",618,451,12,1.3,61,NA,2,"standing008",8535,NA,"R","TRUE","FALSE",3,2019,2021,"",3.05,261.611423738858,TRUE,0.0562105730635188,618,338.673096723389,2.21772389378968,580.181905314,0.058398639593362,0.0231401060697737
"01,24","slope",2,25,2021,"G","01,24G.19.1",607,481,11.6,1.3,NA,NA,2,"standing008",8535,NA,"V","TRUE","FALSE",3,2019,2021,"",NA,271,FALSE,0.0566236453906773,607,338.764522978279,2.09192094704893,566.910576650259,NA,NA
"01,24","slope",2,7,2020,"G","01,24G.20.1",323,NA,23.5,1.3,81,NA,1,"standing007",8537,NA,"R","FALSE","TRUE",2,2020,2021,"",4.05,237.650592077247,TRUE,0.0711338041509246,323,NA,1.68488724008821,627.132636262223,1.6928973221235,-0.402878930210325
"01,24","slope",2,25,2021,"G","01,24G.20.1",359,NA,3.5,1.3,NA,NA,1,"standing007",8537,NA,"V","FALSE","TRUE",2,2020,2021,"",NA,271,FALSE,0.0687033926498153,359,NA,0.309995133384031,938.269282684799,NA,NA
"01,24","slope",2,15,2018,"G","01,24G.8.1",324,264,15.8,1.3,15,NA,1,"standing004",8536,"irregular 264 diamtro 2. Muchas lianas en la copa sin ramas","R",NA,NA,4,2018,2021,"",0.75,420.756904768743,TRUE,0.0710627067218222,324,NA,1.13984301383121,1104.05765952845,NA,NA
"01,24","slope",1,31,2019,"G","01,24G.8.1",NA,NA,15.8,1.3,NA,NA,1,"standing004",8536,"Árbol no encontrado. Debe estar caído bajo muchas lianas que cayeron al suelo sin ramas","R",NA,NA,4,2018,2021,"CAIDO;DP;EX;",NA,271,FALSE,NA,NA,NA,NA,NA,NA,NA
"01,24","slope",2,7,2020,"G","01,24G.8.1",NA,NA,15.8,1.3,NA,NA,1,"standing006",8536,"No encontrado","R",NA,NA,4,2018,2021,"DP;EX;",NA,271,FALSE,NA,NA,NA,NA,NA,NA,NA
"01,24","slope",2,25,2021,"G","01,24G.8.1",333,282,1.6,1.3,NA,NA,2,"standing006",8536,NA,"V","FALSE","TRUE",4,2018,2021,"",NA,271,FALSE,0.0704325303154955,333,326.037606112104,0.136454047904982,36.9790469822501,NA,NA
"01,24","slope",2,7,2020,"J","01,24J.20.1",235,198,5.4,1.3,50,NA,2,"standing009",264309,NA,"R","FALSE","TRUE",2,2020,2021,"",2.5,279.840382233256,TRUE,0.0784493407597301,235,170.36500388302,0.175703794116418,49.1690169053716,0.0220982587612251,0.0541988150501678
"01,24","slope",2,25,2021,"J","01,24J.20.1",241,298,4.84,1.3,NA,NA,2,"standing009",264309,NA,"V","FALSE","TRUE",2,2020,2021,"",NA,271,FALSE,0.0778694781147607,241,182.93647857357,0.171863632918483,46.575044520909,NA,NA
"01,24","slope",2,7,2022,"K","01,24K.22.1",344,209,6.5,1.3,NA,NA,1,"standing010",259211,NA,"E","FALSE","TRUE",2,2022,2023,"",NA,271,FALSE,0.0696850494654576,344,NA,0.528601238300365,839.796134908629,0.271124808535661,0.204450135959516
"01,24","slope",3,13,2023,"K","01,24K.22.1",318,202,5.8,1.3,NA,NA,1,"standing052",259211,"revisar es 01,24","E","FALSE","TRUE",2,2022,2023,"",NA,271,FALSE,0.0714926257811017,318,NA,0.403069714667673,684.513953781796,NA,NA
"01,24","slope",2,7,2020,"L","01,24L.20.1",427,NA,23.9,1.3,64,NA,1,"standing010",259333,NA,"R","TRUE","FALSE",2,2020,2021,"",3.2,257.391316707086,TRUE,0.0647137752807874,427,NA,2.99468802101423,1398.64224956655,-0.0152756826418301,-0.086365935290594
"01,24","slope",2,25,2021,"L","01,24L.20.1",433,419,23.6,1.3,NA,NA,1,"standing010",259333,NA,"V","TRUE","FALSE",2,2020,2021,"",NA,271,FALSE,0.0643928398409885,433,NA,3.04078511071168,1524.80705324472,NA,NA
"01,24","slope",2,25,2021,"L","01,24L.21.1",249,212,0.8,0.4,NA,NA,2,"standing011",259312,NA,"V","FALSE","TRUE",2,2021,2022,"",NA,271,FALSE,0.101870145889532,227.186159015265,239.057674354127,0.0341538700521105,9.25569878412196,-0.242233058219976,-0.242233058219976
"01,24","slope",2,7,2022,"L","01,24L.21.1",273,210,0.85,0.4,NA,NA,2,"standing012",259312,NA,"E","FALSE","TRUE",2,2021,2022,"",NA,271,FALSE,0.0997537112189662,249.558524567036,261.016239354567,0.043515141714352,11.7926034045894,NA,NA
"01,24","slope",1,31,2017,"M","01,24M.9.1",544,NA,3.8,1.3,103,NA,2,"standing004",8188,"sin corteza","R",NA,NA,8,2017,2024,"",5.15,219.07380469823,TRUE,0.0591439749073591,544,469.228243315633,0.767389238246094,168.114880107049,0.295631181053908,0.5221057646412
"01,24","slope",2,15,2018,"M","01,24M.9.1",471,NA,3.8,1.3,201,NA,2,"standing005",8188,"sin corteza. sin ramas","R",NA,NA,8,2017,2024,"",10.05,174.676221466513,TRUE,0.0624580714226681,471,402.909880543591,0.57098501906836,99.7375056448457,-0.106104044250548,-0.374538394048435
"01,24","slope",1,31,2019,"M","01,24M.9.1",496,418,3.8,1.3,91,NA,2,"standing006",8188,"Sin corteza sin ramas","R",NA,NA,8,2017,2024,"",4.55,228.461669295103,TRUE,0.0612685612703724,496,425.55939353523,0.634899689583736,145.050242917243,0.107288250699016,-0.197559548451725
"01,24","slope",2,7,2020,"M","01,24M.9.1",486,413,3.5,1.3,37,NA,2,"standing011",8188,NA,"R","FALSE","TRUE",8,2017,2024,"",1.85,309.889643737829,TRUE,0.0617370092353344,486,424.277279926511,0.57030925512778,176.732931891934,-0.00172332028310479,0.132374104995149
"01,24","slope",2,24,2021,"M","01,24M.9.1",492,372,3.4,1.3,NA,NA,2,"standing012",8188,NA,"V","FALSE","TRUE",8,2017,2024,"",NA,271,FALSE,0.0614547971057227,492,432.431374700795,0.57129292798303,154.820383483401,0.409408719489485,0.409408719489485
"01,24","slope",2,7,2022,"M","01,24M.9.1",429,374,2.9,1.3,NA,NA,2,"standing013",8188,NA,"E","FALSE","TRUE",8,2017,2024,"",NA,271,FALSE,0.0646062984497014,429,386.869273506884,0.379362938166827,102.80735624321,0.0822520026298828,0.0822520026298826
"01,24","slope",2,8,2023,"M","01,24M.9.1",412,374,2.9,1.3,NA,NA,2,"standing006",8188,NA,"E","FALSE","TRUE",8,2017,2024,"",NA,271,FALSE,0.0655362705500066,412,370.986367433306,0.349408374176981,94.6896694019617,-0.0822520026298828,-0.0822520026298827
"01,24","slope",2,14,2024,"M","01,24M.9.1",429,389,2.9,1.3,NA,NA,2,"standing005",8188,"Rajado","E","FALSE","TRUE",8,2017,2024,"",NA,271,FALSE,0.0646062984497014,429,386.869273506884,0.379362938166827,102.80735624321,NA,NA
"02,16","low_plateau",2,6,2020,"C","02,16C.20.1",344,308,6.6,1.3,48,NA,2,"standing012",257848,"Inclinacion 56.2","R","FALSE","TRUE",1,2020,2020,"",2.4,283.736925848036,TRUE,0.0696850494654576,344,237.771682310057,0.443484992204294,125.833068347786,NA,NA
"02,16","low_plateau",3,13,2018,"C","02,16C.8.1",462,NA,18,3.8,26,NA,2,"standing006",8248,"sin ramas. sin corteza. Escalera. Muchas lianas en la copa. Se salió de su base, se mantiene de pie por lianas que lo están sosteniendo","R",NA,NA,1,2018,2018,"",1.3,349.230296334038,TRUE,0.0403764422426039,511.069708467838,260.400130435004,2.17751527825734,760.454305897705,NA,NA
"02,16","low_plateau",2,10,2023,"F","02,16F.23.1",294,302,13.4,1.5,NA,NA,2,"standing008",257727,NA,"E","TRUE","FALSE",2,2023,2024,"",NA,271,FALSE,0.0702923552198019,298.162380283883,127.370573627546,0.502014942751951,136.046049485779,-0.0990234255336337,-0.0990234255336337
"02,16","low_plateau",2,15,2024,"F","02,16F.23.1",308,297,13.4,1.5,NA,NA,2,"standing007",257727,NA,"E","TRUE","FALSE",2,2023,2024,"",NA,271,FALSE,0.0692223948601994,312.293753330625,135.14567681185,0.554270764103759,150.207377072119,NA,NA
"02,16","low_plateau",1,26,2017,"F","02,16F.7.1",234,NA,15.8,1.9,32,NA,2,"standing005",257704,"Psecropia","R",NA,NA,1,2017,2017,"",1.6,325.510739725238,TRUE,0.0705781398760156,244.121975331097,87.7318471694016,0.36694144242905,119.443380360926,NA,NA
"02,16","low_plateau",1,31,2019,"G","02,16G.19.1",227,145,9.7,1.3,78,NA,2,"standing010",258002,"corteza","R",NA,NA,1,2019,2019,"",3.9,240.708274148004,TRUE,0.0792459571829735,227,116.66236306777,0.232668497296889,56.0052324329437,NA,NA
"02,16","low_plateau",1,26,2017,"H","02,16H.7.1",428,NA,27.6,1.3,41,NA,1,"standing006",57916,NA,"R",NA,NA,3,2017,2019,"",2.05,299.298977147216,TRUE,0.0646599740866644,428,NA,3.47451790850573,1630.32031173849,2.22891821255132,0.0857498357944627
"02,16","low_plateau",2,16,2018,"H","02,16H.7.1",419,NA,3.1,1.3,45,NA,1,"standing008",257916,NA,"R",NA,NA,3,2017,2019,"",2.25,290.008253710802,TRUE,0.0651487764268366,419,NA,0.374013840890445,1496.34679868199,0.0956457871614991,0.0113711026346992
"02,16","low_plateau",1,31,2019,"H","02,16H.7.1",428,NA,2.7,1.3,55,NA,1,"standing008",257916,"Corteza","R",NA,NA,3,2017,2019,"",2.75,270.949874585587,TRUE,0.0646599740866644,428,NA,0.339898491049473,1479.42806031409,NA,NA
"02,16","low_plateau",2,16,2018,"I","02,16I.8.1",262,153,3,1.3,83,NA,2,"standing009",258010,"Sin ramas. Irregular 153","R",NA,NA,2,2018,2019,"",4.15,235.695116522147,TRUE,0.0759478839985405,262,230.265525320332,0.142939151189206,33.6900598951168,-0.00387664378691942,0.467076831805472
"02,16","low_plateau",1,31,2019,"I","02,16I.8.1",266,153,2.9,1.3,NA,12,2,"standing009",258010,"Sin corteza","R",NA,NA,2,2018,2019,"",16.6666666666667,147.169592916349,TRUE,0.0755993924830667,266,235.694689943099,0.143494350821863,21.1180051962493,NA,NA
"02,16","low_plateau",2,8,2022,"N","02,16N.22.1",328,NA,5.7,1.3,NA,NA,2,"standing018",253219,"tenia banda de metal","E","TRUE","FALSE",3,2022,2024,"",NA,271,FALSE,0.0707804945922104,328,240.225828300852,0.364239698980551,98.7089584237292,0.0908222596688152,0.0908222596688152
"02,16","low_plateau",2,10,2023,"N","02,16N.22.1",328,338,5,1.3,NA,NA,2,"standing007",253219,NA,"E","TRUE","FALSE",3,2022,2024,"",NA,271,FALSE,0.0707804945922104,328,252.427929031132,0.332616410279145,90.1390471856484,0.0654151749790197,0.06541517497902
"02,16","low_plateau",2,15,2024,"N","02,16N.22.1",320,330,4.9,1.3,NA,NA,2,"standing006",253219,NA,"E","TRUE","FALSE",3,2022,2024,"",NA,271,FALSE,0.071348424681789,320,247.513881409586,0.311554639312042,84.4313072535635,NA,NA
"02,16","low_plateau",2,25,2021,"O","02,16O.21.1",285,195,6.3,1.3,NA,NA,1,"standing017",802138,NA,"V","TRUE","FALSE",1,2021,2021,"",NA,271,FALSE,0.0740125564388668,285,NA,0.351664236593542,514.435418058823,NA,NA
"03,09","low_plateau",1,24,2017,"A","03,09A.7.1",426,NA,10.6,1.3,70,NA,2,"standing007",7917,NA,"R",NA,NA,1,2017,2017,"",3.5,249.695501034326,TRUE,0.0647677026208502,426,233.24740444763,0.930326039076794,232.29822645256,NA,NA
"03,09","low_plateau",1,24,2017,"A","03,09A.7.2",369,NA,17.5,1.3,28,NA,1,"standing008",7918,NA,"R",NA,NA,6,2017,2022,"",1.4,340.572530470624,TRUE,0.0680714847721136,369,NA,1.63752792718489,1259.38429049118,0.21265825157429,0.025209083209697
"03,09","low_plateau",2,16,2018,"A","03,09A.7.2",362,256,14.7,1.3,26,NA,1,"standing011",7918,"irregular 256.m. Ramas","R",NA,NA,6,2017,2022,"",1.3,349.230296334038,TRUE,0.068511990713053,362,NA,1.32383058393823,1228.03319360299,0.590702838347591,1.79583108538242
"03,09","low_plateau",1,29,2019,"A","03,09A.7.2",358,251,13.5,1.3,51,NA,2,"standing011",7918,NA,"R",NA,NA,6,2017,2022,"",2.55,277.969501364754,TRUE,0.0687675488978296,358,154.71255167105,0.733319826582063,203.840546535904,-0.0316878788811458,-0.15921655385516
"03,09","low_plateau",2,6,2020,"A","03,09A.7.2",362,272,13.7,1.3,35,NA,2,"standing016",7918,NA,"R","FALSE","TRUE",6,2017,2022,"",1.75,315.77820218482,TRUE,0.068511990713053,362,154.794050504552,0.756929267449737,239.021763256351,0.438826009227685,0.591747263673319
"03,09","low_plateau",2,24,2021,"A","03,09A.7.2",345,268,7.6,1.3,NA,NA,2,"standing018",7918,NA,"E","FALSE","TRUE",6,2017,2022,"",NA,271,FALSE,0.0696182859933245,345,222.504920345338,0.488062661276404,132.264981205905,-0.0320270937404176,-0.0320270937404175
"03,09","low_plateau",2,8,2022,"A","03,09A.7.2",356,261,7.2,1.3,NA,NA,2,"standing020",7918,NA,"E","FALSE","TRUE",6,2017,2022,"",NA,271,FALSE,0.068896400775449,356,237.090509836961,0.503946895075084,136.569608565348,NA,NA
"03,09","low_plateau",1,24,2017,"C","03,09C.7.1",346,NA,18.6,1.3,27,NA,1,"standing009",8043,NA,"R",NA,NA,5,2017,2021,"",1.35,344.794074856212,TRUE,0.0695517157587181,346,NA,1.53025242426418,1078.44364061551,0.82197650558033,1.53687065352391
"03,09","low_plateau",2,16,2018,"C","03,09C.7.1",355,NA,11.9,1.3,27,NA,2,"standing012",8043,"sin ramas","R",NA,NA,5,2017,2021,"",1.35,344.794074856212,TRUE,0.0689610984271112,355,170.90881115206,0.672640813981389,231.922567167243,0.0213466190309129,0.171013823038425
"03,09","low_plateau",1,29,2019,"C","03,09C.7.1",353,294,11.7,1.3,42,NA,2,"standing012",8043,NA,"R",NA,NA,5,2017,2021,"",2.1,296.865789760389,TRUE,0.0690910422755799,353,172.073415021521,0.658434375950414,195.466641021909,0.00504680470506054,0.56939337572887
"03,09","low_plateau",2,6,2020,"C","03,09C.7.1",357,293,11.1,1.3,NA,18,2,"standing017",8043,NA,"R","TRUE","FALSE",5,2017,2021,"",11.1111111111111,168.836970768197,TRUE,0.068831884604114,357,181.850207532125,0.655119757395494,110.608435329051,0.0647702958898187,-0.408414945671045
"03,09","low_plateau",2,24,2021,"C","03,09C.7.1",338,296,12.2,1.3,NA,NA,2,"standing019",8043,NA,"E","TRUE","FALSE",5,2017,2021,"",NA,271,FALSE,0.0700897519889363,338,157.443647218513,0.614032438847847,166.402790927766,NA,NA
"03,09","low_plateau",2,24,2021,"D","03,09D.21.1",468,372,21.32,1.3,NA,NA,1,"standing020",8040,NA,"E","TRUE","FALSE",4,2021,2024,"",NA,271,FALSE,0.0626050367789399,468,NA,3.209052638127,1863.8582190627,1.14700106361308,0.0055203758594535
"03,09","low_plateau",2,8,2022,"D","03,09D.21.1",467,355,6.8,1.3,NA,NA,1,"standing022",8040,"siempre ha tenido corteza, correguir censo anterior","E","TRUE","FALSE",4,2021,2024,"",NA,271,FALSE,0.0626542346586611,467,NA,1.01915586534026,1853.5973690769,0.335448820456251,2.23923885167454
"03,09","low_plateau",3,10,2023,"D","03,09D.21.1",434,366,6.7,1.3,NA,NA,2,"standing010",8040,"se partio","E","TRUE","FALSE",4,2021,2024,"",NA,271,FALSE,0.0643397833007364,434,306.620155883845,0.728713871308319,197.481459124554,-0.117402903870129,-0.117402903870129
"03,09","low_plateau",2,16,2024,"D","03,09D.21.1",459,361,6.7,1.3,NA,NA,2,"standing008",8040,NA,"E","TRUE","FALSE",4,2021,2024,"",NA,271,FALSE,0.0630516527536532,459,326.546149620105,0.819491531226436,222.082204962364,NA,NA
"03,09","low_plateau",1,24,2017,"E","03,09E.6.1",212,NA,6,1.3,45,NA,2,"standing010",251565,"La copa ya está sin lianas","R",NA,NA,2,2017,2018,"",2.25,290.008253710802,TRUE,0.0808183232675894,212,145.000929872578,0.151910875210862,44.0554076395816,-0.0292475316955543,0.335285833477176
"03,09","low_plateau",1,24,2018,"E","03,09E.6.1",215,NA,6,1.3,132,NA,2,"standing013",251565,"La copa ya está sin lianas","R",NA,NA,2,2017,2018,"",6.6,201.416724585856,TRUE,0.0804951329381095,215,147.276372007153,0.156419505103952,31.5055043793786,NA,NA
"03,09","low_plateau",2,6,2020,"I","03,09I.20.1",335,303,6.4,1.3,28,NA,2,"standing018",8053,NA,"R","TRUE","FALSE",3,2020,2022,"",1.4,340.572530470624,TRUE,0.0702948053530692,335,234.071593695036,0.411219390102657,140.050028265849,-0.317663229088583,-0.0891539354013208
"03,09","low_plateau",2,24,2021,"I","03,09I.20.1",358,316,8.5,1.3,NA,NA,2,"standing021",8053,NA,"E","TRUE","FALSE",3,2020,2022,"",NA,271,FALSE,0.0687675488978296,358,218.198813199759,0.564979867086704,153.109543980497,0.13418514784523,0.13418514784523
"03,09","low_plateau",2,8,2022,"I","03,09I.20.1",347,293,7.6,1.3,NA,NA,2,"standing023",8053,NA,"E","TRUE","FALSE",3,2020,2022,"",NA,271,FALSE,0.069485337646268,347,223.982327303343,0.494034300600515,133.88329546274,NA,NA
"03,09","low_plateau",2,24,2021,"I","03,09I.21.1",353,313,13.5,1.3,NA,NA,2,"standing022",8050,NA,"E","TRUE","FALSE",4,2021,2024,"",NA,271,FALSE,0.0690910422755799,353,151.950884626364,0.711582753614317,192.83892622948,0.288037734787268,0.288037734787268
"03,09","low_plateau",2,8,2022,"I","03,09I.21.1",335,276,9.8,1.3,NA,NA,2,"standing024",8050,NA,"E","TRUE","FALSE",4,2021,2024,"",NA,271,FALSE,0.0702948053530692,335,184.311025459541,0.533497286573263,144.577764661354,-0.0505876170618134,-0.0505876170618134
"03,09","low_plateau",2,10,2023,"I","03,09I.21.1",345,266,9.6,1.3,NA,NA,2,"standing012",8050,NA,"E","TRUE","FALSE",4,2021,2024,"",NA,271,FALSE,0.0696182859933245,345,193.584216134265,0.561179939409647,152.079763580014,-0.0662596912732233,-0.0662596912732235
"03,09","low_plateau",2,16,2024,"I","03,09I.21.1",358,258,9.4,1.3,NA,NA,2,"standing009",8050,NA,"E","TRUE","FALSE",4,2021,2024,"",NA,271,FALSE,0.0687675488978296,358,205.10372777764,0.599623101084145,162.497860393803,NA,NA
"03,09","low_plateau",2,6,2020,"J","03,09J.20.1",641,586,22.3,1.3,52,NA,1,"standing019",8048,NA,"R","TRUE","FALSE",5,2020,2024,"",2.6,276.147096969208,TRUE,0.0553701300758703,641,NA,6.29678487889537,4262.45279027318,0.18586412799474,-0.0911150565485883
"03,09","low_plateau",2,24,2021,"J","03,09J.20.1",669,575,17,1.3,NA,NA,1,"standing023",8048,NA,"E","FALSE","TRUE",5,2020,2024,"",NA,271,FALSE,0.0543867742020965,669,NA,5.22876461269884,4669.06960369399,0.036406399634711,0.105484825831622
